Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec,Model
33,7123,High,300,141,31.39716289789246,0.11508274150059522,5.28,10.957911827052556,0.036526372635087276,3.5435620510829144,0.011811873464236804,7.0931522959441375,0.44303163130085765,Rain,Industrial,0.5767947923965926,0.47,ppo_10000.zip
34,5433,High,300,140,31.4214283469898,0.1307380943042517,5.616666666666666,11.192931464035599,0.037309771422419424,3.6192318043048264,0.012064105974135734,6.908349560447681,0.5177608730176053,Heavy Rain,Residential,0.5524597124345461,0.4666666666666667,ppo_10000.zip
35,7239,High,300,140,31.364285490255103,0.10614285638469388,4.953333333333333,11.055314178878833,0.036851047140092616,3.5750912432393287,0.011916970771074526,6.988911844526526,0.4754445361942329,Fog,Industrial,0.5763706844002605,0.4666666666666667,ppo_10000.zip
36,675,High,300,140,31.078571206581636,0.08495238034557823,4.58,11.022681414086131,0.03674227125781287,3.5644612549989625,0.011881537477058083,7.014076568205546,0.44232896366492314,Heavy Rain,Industrial,0.5864202159603269,0.4666666666666667,ppo_10000.zip
37,1097,Low,60,20,24.69999876500006,0.9374999531250023,5.183333333333334,1.743368831679608,0.029056146710391025,0.5636808366621591,0.009394680454457977,7.636014950821436,0.4058926504041188,Clear,Commercial,0.8898345921254556,0.3333333333333333,ppo_11000.zip
38,8109,Low,60,19,22.315788299169036,0.8114034660664842,4.966666666666667,1.6850661670507066,0.02808443564943785,0.5447935170775091,0.009079891799960289,7.198809337924619,0.32421086414746203,Rain,Residential,0.6911011444832393,0.31666666666666665,ppo_11000.zip
39,6804,Low,60,18,25.388887478395137,0.6879629247428004,4.233333333333333,1.7927304037099965,0.029878839563852618,0.5794168197670903,0.009656946835169057,7.308264837034719,0.3539948626478696,Heavy Rain,School,0.9256454097742177,0.3,ppo_11000.zip
40,1120,Low,60,19,22.368419875346323,0.8307017106648222,5.033333333333333,1.711805209615086,0.028530086351416663,0.5533927177242124,0.00922321180835001,7.322921711420025,0.3749173482131424,Fog,Residential,0.9595893039104174,0.31666666666666665,ppo_11000.zip
41,6082,Low,120,48,29.062499394531265,0.2423611060619214,4.25,4.072207506832164,0.033935062274142516,1.3159296504566886,0.010966080329088402,7.177253986249821,0.40844090304142877,Rain,School,0.6299586517391802,0.4,ppo_11000.zip
42,9858,Low,120,46,29.58695587854444,0.24601448740548218,4.183333333333334,4.090880562458055,0.0340906710697282,1.3220703746775455,0.011017253030502437,7.127030525927736,0.43855804567800605,Fog,Industrial,0.5837837555946603,0.38333333333333336,ppo_11000.zip
43,4182,Low,120,50,28.079999438400012,0.19533332942666676,4.033333333333333,4.240857637965561,0.035340480021875675,1.3705999300267302,0.011421665988375535,7.290764680906557,0.510439684366363,Fog,Commercial,0.5604598254287669,0.4166666666666667,ppo_11000.zip
44,6864,Low,120,45,30.17777710716051,0.39629628748971213,5.45,4.016091050620083,0.033467425142938816,1.297925306408708,0.010816044129938866,6.837336521384614,0.45628503685442845,Clear,Residential,0.6776162252758147,0.375,ppo_11000.zip
45,3750,Low,300,133,32.66917268669795,0.11699248032336482,5.116666666666666,11.015612695597502,0.036718708862929314,3.561843168108295,0.011872810520784947,6.674026147023178,0.540139524319313,Fog,Industrial,0.6827026576243047,0.44333333333333336,ppo_11000.zip
46,2827,Low,300,139,32.42446019838518,0.11908872816003314,5.23,10.956201733539915,0.03652067232339748,3.5432462878143,0.011810820920011596,6.947147828485304,0.5133815969191188,Rain,Industrial,0.6269822354384773,0.4633333333333333,ppo_11000.zip
